搜狐首页 新闻 体育 汽车 房产 旅游 教育 时尚 科技 财经 娱乐 更多 	O
母婴 健康 历史 军事 美食 文化 星座 专题 游戏 搞笑 动漫 宠物 	O
搜狐 > 新闻 > > 正文 	O
由内容质量、互动评论、分享传播等多维度分值决定，勋章级别越高( )，代表其在平台内的综合表现越好。 文章 总阅读 	O
查看TA的文章> 	O
阿曼湾两艘油船遇袭爆炸 油价飙升4%！美国增派军舰 伊朗提醒勿入圈套 	B-TITLE
2019-06-14 14:00 来源: 中金网 	B-INFO
原标题：阿曼湾两艘油船遇袭爆炸 油价飙升4%！美国增派军舰 伊朗提醒勿入圈套 	O
外汇天眼APP讯 : 6月13日星期四，两艘油轮在海湾地区战略要地、霍尔木兹海峡附近遭到袭击，一艘油轮起火，在海上漂流。 	B-CONTENT
据外媒报道，6月13日在阿曼海发生了两起爆炸事件是针对油轮的袭击所造成的，其中一艘属于挪威Frontline油轮运输公司的油轮被鱼雷或水雷击中。 	I-CONTENT
伊朗媒 体报道称，两艘载满原油的油轮分别悬挂马绍尔群岛和巴拿马国旗，伊朗船只前往救援，救出了44名船员。首先出现着火迹象的是悬挂马绍尔群岛国旗的Altair油轮，这艘船在出发前从阿联酋的阿布扎比装载了大量石油。 	I-CONTENT
两艘油轮路线图及遇袭地点 	I-CONTENT
据外汇天眼了解，阿曼湾位于霍尔木兹海峡的入口处。霍尔木兹海峡则是一条具有重要战略意义的水道，全球五分之一的石油消费量经其从中东产油国运出。 	I-CONTENT
消息传出后，国际原油价格在亚洲交易时段直线飙升，布伦特原油价格一度上涨逾4%，达到每桶62美元以上。 	I-CONTENT
截至周四收盘，布伦特原油涨2.23%，报61.31美元/桶；WTI原油涨2.23%，报52.28美元/桶。而此前，国际原油经历了连续大幅下跌。 	I-CONTENT
美国WTI原油30分钟走势图 	I-CONTENT
在市场人士看来，此次事件对于油价的影响主要在于加大了市场对于中东局势不稳定性的担忧。“本次袭击叠加今日有消息称伊朗拒绝与美国谈判，地缘政治引发的供应担忧将对短期油价形成支撑。” 	I-CONTENT
因投资者对于中东局势升级感到担忧，市场避险情绪升温，由此引发的避险买盘推动金价走强。周五亚市早盘，金价持续走高，现货金最高一度触及1344.94美元/盎司。 	I-CONTENT
美国：是伊朗干的 	I-CONTENT
美国哥伦比亚广播公司（CBS）6月13日报道，一个月来中东地区连续发生两次油轮严重受损事件，美国官员再次迅速将责任归咎于伊朗。 	I-CONTENT
美国国务卿蓬佩奥周四发布调查报告，指责伊朗当天早些时候对阿曼湾靠近伊朗和霍尔木兹海峡的油轮发动袭击，但并没有提供证据。 	I-CONTENT
蓬佩奥说，周四（13日）两艘油槽船遇袭是伊朗近期在该海域进行的最新攻击行动，“这些无端的攻击对国际和平与安全构成明显的威胁。” 	I-CONTENT
蓬佩奥指伊朗必须对两艘油槽船遇袭负责 	I-CONTENT
白宫表示，美国总统总统特朗普(Donald Trump)听取了有关此事的简报，并指责伊朗是5月12日在同一地区对四艘油轮发动类似袭击的幕后黑手。 	I-CONTENT
特朗普周四在推特上写道：“美国政府的评估是，伊朗要为今天发生在阿曼湾的袭击事件负责。” 	I-CONTENT
特朗普还在推特上写道，“现在就考虑与伊朗达成协议还为时过早”，他说，“他们还没有准备好，我们也没有准备好!” 	I-CONTENT
美军负责中东地区的中央司令部（CENTCOM）通报了此次油轮袭击事件，认为油轮遭到攻击系伊朗所为，并决定向阿曼湾派遣1艘驱逐舰。 	I-CONTENT
